crop_id,scientific_name,soil_ph_absolute_max,soil_ph_absolute_min,soil_ph_optimal_max,soil_ph_optimal_max,rainfall_annual_optimal_max
942,Dioscorea rotundata,8.5,5.8,6.7,6.7,1500.0
945,Diospyros kaki,8.3,5.0,6.5,6.5,1700.0
963,Durio zibethinus,7.5,4.3,6.5,6.5,2500.0
970,Echinochloa crus-galli,8.2,4.8,7.0,7.0,1100.0
972,Elaeis guineensis,8.0,3.2,6.0,6.0,3000.0
985,Eleusine indica,8.4,4.3,6.5,6.5,1200.0
988,Emilia sonchifolia,7.0,4.0,6.5,6.5,2000.0
1002,Eriobotrya japonica,8.0,4.5,6.5,6.5,1600.0
1007,Erythrina fusca,7.0,4.0,6.5,6.5,3000.0
1030,Syzygium cumini,8.0,4.5,7.0,7.0,6000.0
1033,Syzygium malaccense,8.0,5.0,6.5,6.5,1600.0
1068,Feijoa sellowiana,8.3,5.0,7.0,7.0,1500.0
1071,Ficus carica,8.6,4.3,7.0,7.0,1500.0
1096,Allium cepa var. aggregatum,7.5,5.5,7.0,7.0,600.0
1107,Foeniculum vulgare,8.2,4.8,7.5,7.5,1500.0
1110,Fortunella japonica,8.0,6.0,7.5,7.5,1500.0
1112,Fragaria x ananassa,8.2,4.5,6.8,6.8,900.0
1122,Garcinia mangostana,7.5,4.3,6.0,6.0,2000.0
1125,Garcinia xanthochymus,8.0,5.5,7.5,7.5,2000.0
1150,Glycine max,8.4,4.5,6.5,6.5,1500.0
1152,Gmelina arborea,7.5,4.0,6.0,6.0,2500.0
1193,Helianthus tuberosus,8.3,4.5,6.6,6.6,1500.0
1212,Hevea brasiliensis,8.0,3.5,6.0,6.0,4000.0
1213,Hibiscus cannabinus,8.2,4.3,7.5,7.5,2000.0
1216,Hibiscus sabdariffa,8.5,4.5,7.5,7.5,3000.0
1220,Hibiscus syriacus,8.0,5.0,7.5,7.5,1400.0
1232,Hordeum vulgare,8.0,6.0,7.5,7.5,1000.0
1252,Imperata cylindrica,7.5,4.0,6.0,6.0,3500.0
1260,Inga edulis,8.0,4.5,6.5,6.5,2500.0
1264,Ipomoea aquatica,7.5,4.3,7.0,7.0,2500.0
1265,Ipomoea batatas,8.7,4.0,7.0,7.0,2000.0
1283,Ischaemum rugosum,7.0,4.0,5.5,5.5,2000.0
