scientific_name,crop_id
Maranta arundinacea,2335
Melissa officinalis,2340
Monochoria hastata,2347
Moringa oleifera,2348
Morus nigra,2349
Mucuna pruriens var utilis,2350
Nasturtium schlechteri,2357
Nelumbo nucifera,2359
Nephelium mutabile,2360
Ocimum americanum,2363
Oenanthe javanica,2364
Oxalis tuberosa,2371
Parinari nonda,2380
Passiflora ligularis,2381
Pistacia vera,2386
Polyscias verticillata,2390
Pouteria campechiana,2394
Prunus amygdalus,2397
Prunus armeniaca,2398
Sambucus nigra,2413
Sterculia foetida,2428
Talinum triangulare,2433
Tragopogon porrifolius,2442
Tropaeolum tuberosum,2447
Ximenia americana,2452
Rheum rhaponticum,2454
Annona cherimola x Annona squamosa,2465
Pangium edule,2467
Beta vulgaris var. cicla,2474
Luffa cylindrica,2475
Cicer arietinum,2479
Musa sp.,2483
Alocasia macrorrhizos,2486
Bruguiera gymnorrhiza,2499
Avicennia officinalis,2501
Musa balbisiana,2507
Coffea excelsa,2508
Chenopodium quinoa,2509
Carthamus tinctorius,2514
Phaseolus acutifolius,2516
Vigna aconitifolia,2524
Phaseolus polyanthus,2525
Solanum muricatum,2528
Acacia aneura,2579
Acacia anticeps,2580
Acacia brachystachya,2588
Acacia coriacea,2599
Acacia cowleana,2600
Acacia leucophloea,2646
Acacia macdonnelliensis,2651
Acacia murrayana,2664
Acacia senegal,2697
Acacia stenophylla,2705
Acacia victoriae,2718
Acanthosicyos naudinianus,2735
Acca sellowiana,2741
Acrocomia aculeata,2783
Acrocomia totai,2787
Actinidia arguta,2803
Adansonia digitata,2807
Adansonia grandidieri,2808
Adansonia gregorii,2809
Aegle marmelos,2844
Aesculus hippocastanum,2856
Aframomum corrorima,2863
Aframomum melegueta,2872
Afzelia quanzensis,2881
Agropyron repens,2925
Albizia chevalieri,2958
Alchemilla vulgaris,2972
Alliaria petiolata,2984
Allium cepa x A. fistulosum,2992
Allium chinense,2994
Alpinia galanga,3052
Alysicarpus rugosus,3069
Amaranthus hybridus,3086
Amaranthus hypochondriacus,3090
Aronia alnifolia,3116
Ammandra natalia,3127
Angelica archangelica,3218
Angelica sylvestris,3220
Annona atemoya,3236
Annona montana,3241
Annona scleroderma,3242
Annona senegalensis,3243
Apios americana,3286
Apium graveolens var. rapaceum,3289
Arachis glabrata,3308
Arachis pintoi,3310
Araucaria angustifolia,3318
Arbutus unedo,3325
Archidendron jiringa,3327
Arctium lappa,3330
Arenga pinnata,3348
Argania sideroxylon,3351
Armoracia rusticana,3384
Arracacia xanthorrhiza,3386
Artocarpus altilis,3423
Artocarpus chaplasha,3428
Artocarpus integer,3435
Astrocaryum vulgare,3522
Atriplex hortensis,3549
Attalea cohune,3560
Avena byzantina,3568
Avena fatau,3569
Avena nuda,3571
Avena sterilis,3572
Avicennia germinans,3575
Avicennia marina,3576
Azanza garckeana,3582
Baccaurea motleyana,3591
Baccaurea racemosa,3596
Baccaurea ramiflora,3597
Balanites aegyptiaca,3608
