scientific_name,crop_id
Calophyllum peekelii,4076
Calotropis procera,4079
Cannabis sativa ssp. indica,4127
Capsella bursa-pastoris,4164
Carapa guianensis,4198
Carpinus betulus,4238
Cassia angustifolia,4280
Catalpa bignonioides,4349
Centaurea jacea,4400
Ceriops decandra,4434
Cheiranthus cheiri,4479
Chelidonium majus,4480
Chlorophora excelsa,4510
Chukrasia velutina,4548
Cinchona calisaya,4563
Cinchona officinalis,4565
Clematis vitalba,4676
Cochlospermum religiosum,4730
Colchicum autumnale,4759
Combretum aculeatum,4780
Combretum micranthum,4782
Conium maculatum,4815
Conocarpus erectus,4816
Convallaria majalis,4824
Convolvulus arvensis,4825
Cupressus sempervirens,5050
Cuscuta epithymum,5071
Cynoglossum officinale,5147
Daphne mezereum,5199
Derris indica,5250
Digitalis lanata,5320
Digitalis lutea,5321
Digitalis purpurea,5322
Dioscorea composita,5374
Dipterocarpus alatus,5498
Dipterocarpus costatus,5499
Dipterocarpus gracilis,5500
Dipterocarpus macrocarpus,5502
Dodonaea viscosa ssp. angustifolia,5523
Drosera rotundifolia,5554
Duboisia myoporoides,5571
Ecballium elaterium,5591
Entada abyssinica,5701
Eragrostis lehmanniana,5738
Erythrina abyssinica,5803
Eucalyptus citriodora,5842
Eucalyptus globulus ssp. globulus,5861
Eugenia suborbiculare,5996
Euphorbia lathyrus,6029
Fagraea fragrans,6077
Fibraurea tinctoria,6113
Frangula alnus,6266
Fraxinus excelsior,6271
Galega officinalis,6304
Geranium robertianum,6416
Gossypium herbaceum,6493
Guaiacum officinale,6558
Guaiacum sanctum,6559
Hagenia abyssinica,6597
Hamamelis virginiana,6615
Harungana madagascariensis,6623
Hedera helix,6625
Hieracium pilosella,6718
Hydnocarpus kurzii,6784
Hyoscyamus niger,6820
Hypericum perforatum,6831
Ilex paraguariensis,6869
Indigofera arrecta,6882
Iris germanica,6952
Jacaranda mimosifolia,6983
Juniperus procera,7032
Juniperus sabina,7033
Justicia adhatoda,7037
Khaya senegalensis,7058
Lactuca virosa,7089
Laguncularia racemosa,7098
Larix decidua,7149
Lavandula dentata,7174
Lavandula intermedia,7175
Lavandula latifolia,7177
Ligustrum vulgare,7302
Lilium candidum,7304
Linum usitatissimum,7336
Liquidambar styraciflua,7343
Lobelia inflata,7383
Lotus corniculatus,7410
Maesopsis eminii,7533
Mallotus philippensis,7548
Malva sylvestris,7563
Melaleuca cajuputi,7670
Melia azedarach,7681
Melia azedarach var. australasica,7682
Melilotus officinalis,7691
Mentha longifolia,7704
Mimosa pigra,7770
Myrsine africana,7898
Oenothera biennis,8047
Olea capensis,8059
Osmunda regalis,8156
Panax ginseng,8227
Panax quinquefolium,8230
Papaver bracteatum,8292
Paulownia tomentosa,8390
Peltophorum pterocarpum,8410
Petalostigma pubescens,8473
Picea abies,8571
Piliostigma reticulatum,8588
Pinus sylvestris,8658
Pittosporum resiniferum,8709
Plantago media,8737
Plantago ovata,8738
Plantago psyllium,8739
Platanus orientalis,8744
Polygonatum officinale,8815
Polygonum aviculare,8819
Populus euphratica,8866
Potentilla anserina,8894
Primula veris,8933
Prosopis cineraria,8947
Prunus laurocerasus,8980
Pterocarpus angolensis,9041
Pterocarpus erinaceus,9043
Pterocarpus santalinus,9049
Quisqualis indica,9149
Rubia tinctorum,9344
Sanicula europaea,9537
Santolina chamaecyparissus,9551
Saponaria officinalis,9559
Senecio vulgaris,9691
Serenoa repens,9702
Silybum marianum,9784
Sisymbrium officinale,9797
Smilax aspera,9804
Solanum dulcamara,9848
Soymida febrifuga,9979
Spartium junceum,9984
Stachys officinalis ssp. officinalis,10032
Stylosanthes erecta,10144
Tamarix gallica,10278
Taxus baccata,10299
Terminalia arjuna,10321
Terminalia chebula,10327
Tilia cordata,10446
Tilia platyphyllos,10449
Trifolium arvense,10525
Tussilago farfara,10624
Ulmus procera,10655
Uncaria gambir,10663
Vateria indica,10741
Ventilago viminalis,10746
Veratrum album,10747
Verbascum phlomoides,10753
Vinca minor,10841
Viola odorata,10850
Viola tricolor,10853
Viscum album,10860
Vitex agnus-castus,10870
Vitex negundo,10884
Vitex parviflora,10885
Withania somnifera,10920
Xylocarpus granatum,10954
Xylocarpus mekongensis,10955
Xylocarpus moluccensis,10956
Harpagophytum procumbens,11059
Lippia alba,11324
Prunus africana,11641
Acacia abyssinica,11776
Acacia dudgeoni,11848
Albizia amara,12184
Alisma plantago-aquatica,12200
Andrographis paniculata,12320
Antirrhinum majus,12381
Apocynum cannabinum,12393
Aristolochia rotunda,12445
Asperula odorata,12500
Cymbalaria muralis,13538
Dryopteris filix-mas,13775
Erythroxylum coca,14047
Eucalyptus globulus,14054
Eupatorium cannabinum,14068
Myosotis alpestris,15430
Ononis spinosa,15579
Parnassia palustris,15774
Peltophorum africanum,15820
Petasites hybridus,15851
Populus deltoides,16100
Potentilla tormentilla,16152
Salix alba,16538
Sedum acre,16717
Solidago virgaurea,16985
Taxodium distichum,17162
Valeriana officinalis,17405
Verbascum thapsus,17435
Eusideroxylon zwageri,17657
Hypoxis hemerocallidea,17660
Bryonia cretica,17895
Erigeron canadensis,18072
Phytolacca dioica,28399
Lycopodium clavatum,30919
Rhigozum trichotomum,33121
Faurea saligna,38279
Baikiaea plurijuga,42707
Bolusanthus speciosus,42760
Dalbergia melanoxylon,44088
Ekebergia capensis,45195
Sapium ellipticum,45598
Combretum molle,47120
Grindelia robusta,49188
Leontopodium alpinum,49210
Trollius europaeus,49976
Soldanella alpina,49977
Sempervivum arachnoideum,49978
Scolopendrium officinale,49979
Sambucus ebulus,49980
Rhododendron ferrugineum,49981
Umbilicus rupestris,49982
Ceterach officinarum,49986
Cimicifuga racemosa,49988
Cornus sanguinea,50038
Cytisus alpinus,50039
Anemone hepatica,50040
Antennaria dioica,50041
Asarum europaeum,50042
Asplenium ruta-muraria,50043
Astrantia major,50044
Globularia vulgaris,50048
Paeonia officinalis,50471
Chamaecrista nictitans,74962
Orthosiphon aristatis,74983
Orobanche flava,75002
Alnus maritima,77301
Euonymus japonicus,77795
Pausinystalia yohimbe,83552
Didymopanax morototoni,127113
Echinacea purpurea,148275
Alphitonia excelsa,197937
Aquilegia canadensis,198891
Asclepias lanceolata,199708
Aster cordifolius var. cordifolius,199890
Khaya anthotheca,218100
Rhodiola rosea,230348
Eurycoma longifolia,238780
Markhamia lutea,248814
Eucalyptus piperita,248817
Populus ciliata,305323
Ocotea usambarensis,305324
Polyscias fulva,305325
Pycnanthus angolensis,355150
Schima wallichii,355151
Terminalia brownii,355154
Terminalia mantaly,355155
Trifolium burchellianum,372263
